PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39076420","Infectious disease surveillance needs for the United States: lessons from Covid-19","Lipsitch M, Bassett MT, Brownstein JS, Elliott P, Eyre D, Grabowski MK, Hay JA, Johansson MA, Kissler SM, Larremore DB, Layden JE, Lessler J, Lynfield R, MacCannell D, Madoff LC, Metcalf CJE, Meyers LA, Ofori SK, Quinn C, Bento AI, Reich NG, Riley S, Rosenfeld R, Samore MH, Sampath R, Slayton RB, Swerdlow DL, Truelove S, Varma JK, Grad YH.","Front Public Health. 2024 Jul 15;12:1408193. doi: 10.3389/fpubh.2024.1408193. eCollection 2024.","Lipsitch M","Front Public Health","2024","2024/07/30","PMC11285106","","10.3389/fpubh.2024.1408193"
"39241763","Structural review of SARS-CoV-2 antiviral targets","Cui W, Duan Y, Gao Y, Wang W, Yang H.","Structure. 2024 Sep 5;32(9):1301-1321. doi: 10.1016/j.str.2024.08.005.","Cui W","Structure","2024","2024/09/06","","","10.1016/j.str.2024.08.005"
"39167954","Inference of epidemic dynamics in the COVID-19 era and beyond","Cori A, Kucharski A.","Epidemics. 2024 Sep;48:100784. doi: 10.1016/j.epidem.2024.100784. Epub 2024 Jul 31.","Cori A","Epidemics","2024","2024/08/21","","","10.1016/j.epidem.2024.100784"
"38651330","Exploring therapeutic targets for molecular therapy of idiopathic pulmonary fibrosis","Li Y, Jiang C, Zhu W, Lu S, Yu H, Meng L.","Sci Prog. 2024 Apr-Jun;107(2):368504241247402. doi: 10.1177/00368504241247402.","Li Y","Sci Prog","2024","2024/04/23","PMC11036936","","10.1177/00368504241247402"
"39228083","Expanding the use of mathematical modeling in healthcare epidemiology and infection prevention and control","Grant R, Rubin M, Abbas M, Pittet D, Srinivasan A, Jernigan JA, Bell M, Samore M, Harbarth S, Slayton RB; 2023 IPC Think Tank participants.","Infect Control Hosp Epidemiol. 2024 Sep 4:1-6. doi: 10.1017/ice.2024.97. Online ahead of print.","Grant R","Infect Control Hosp Epidemiol","2024","2024/09/04","","","10.1017/ice.2024.97"
"38458366","Chaos theory in the understanding of COVID-19 pandemic dynamics","Calistri A, Francesco Roggero P, Palù G.","Gene. 2024 Jun 20;912:148334. doi: 10.1016/j.gene.2024.148334. Epub 2024 Mar 7.","Calistri A","Gene","2024","2024/03/08","","","10.1016/j.gene.2024.148334"
"39536118","Animal models of Long Covid: A hit-and-run disease","Schäfer A, Leist SR, Powers JM, Baric RS.","Sci Transl Med. 2024 Nov 13;16(773):eado2104. doi: 10.1126/scitranslmed.ado2104. Epub 2024 Nov 13.","Schäfer A","Sci Transl Med","2024","2024/11/13","","","10.1126/scitranslmed.ado2104"
"39861887","Animal Models of Non-Respiratory, Post-Acute Sequelae of COVID-19","Vanderheiden A, Diamond MS.","Viruses. 2025 Jan 14;17(1):98. doi: 10.3390/v17010098.","Vanderheiden A","Viruses","2025","2025/01/25","PMC11768974","","10.3390/v17010098"
"38548022","Preclinical animal models to evaluate therapeutic antiviral antibodies","De Meyer A, Meuleman P.","Antiviral Res. 2024 May;225:105843. doi: 10.1016/j.antiviral.2024.105843. Epub 2024 Mar 26.","De Meyer A","Antiviral Res","2024","2024/03/28","","","10.1016/j.antiviral.2024.105843"
"39696533","Recent advancements in traditional Chinese medicine for COVID-19 with comorbidities across various systems: a scoping review","Shang X, Cao Y, Guo Y, Zhang L, Li J, Zhang H, Fan Y, Huang Y, Li J, Wang Y, Xiong Y, Cai Q, Zhang H, Ma Y.","Infect Dis Poverty. 2024 Dec 19;13(1):97. doi: 10.1186/s40249-024-01263-8.","Shang X","Infect Dis Poverty","2024","2024/12/19","PMC11658301","","10.1186/s40249-024-01263-8"
"38071144","3D human tissue models and microphysiological systems for HIV and related comorbidities","3D Human Tissue Models for HIV Working Group. Electronic address: dwight.yin@nih.gov; 3D Human Tissue Models for HIV Working Group.","Trends Biotechnol. 2024 May;42(5):526-543. doi: 10.1016/j.tibtech.2023.10.008. Epub 2023 Dec 8.","3D Human Tissue Models for HIV Working Group. Electronic address: dwight.yin@nih.gov","Trends Biotechnol","2024","2023/12/09","PMC11065605","NIHMS1943047","10.1016/j.tibtech.2023.10.008"
"38813579","Incorporating endogenous human behavior in models of COVID-19 transmission: A systematic scoping review","Hamilton A, Haghpanah F, Tulchinsky A, Kipshidze N, Poleon S, Lin G, Du H, Gardner L, Klein E.","Dialogues Health. 2024 May 7;4:100179. doi: 10.1016/j.dialog.2024.100179. eCollection 2024 Jun.","Hamilton A","Dialogues Health","2024","2024/05/30","PMC11134564","","10.1016/j.dialog.2024.100179"
"38465204","Extracellular Vesicles: A New Star for Gene Drug Delivery","Sun M, Zhang H, Liu J, Chen J, Cui Y, Wang S, Zhang X, Yang Z.","Int J Nanomedicine. 2024 Mar 6;19:2241-2264. doi: 10.2147/IJN.S446224. eCollection 2024.","Sun M","Int J Nanomedicine","2024","2024/03/11","PMC10924919","","10.2147/IJN.S446224"
"39221970","In silico selection of aptamers against SARS-CoV-2","Akmal Shukri AM, Wang SM, Feng C, Chia SL, Mohd Nawi SFA, Citartan M.","Analyst. 2024 Sep 23;149(19):4770-4788. doi: 10.1039/d4an00812j.","Akmal Shukri AM","Analyst","2024","2024/09/02","","","10.1039/d4an00812j"
"39313621","A Critical Review on Pargament's Theory of Religious Coping: In the Context of the COVID-19 Pandemic","Imran MH, Leng X.","J Relig Health. 2025 Feb;64(1):657-671. doi: 10.1007/s10943-024-02136-y. Epub 2024 Sep 23.","Imran MH","J Relig Health","2025","2024/09/23","","","10.1007/s10943-024-02136-y"
"37909097","Ex vivo challenge models for infectious diseases","Gordhan BG, Liebenberg D, Scarlatti G, Herrera C, Chiodi F, Martinson N, Fox J, Kana BD.","Crit Rev Microbiol. 2024 Sep;50(5):785-804. doi: 10.1080/1040841X.2023.2274855. Epub 2023 Nov 1.","Gordhan BG","Crit Rev Microbiol","2024","2023/11/01","","","10.1080/1040841X.2023.2274855"
"38284949","Viral-based animal models in polyglutamine disorders","Henriques C, Lopes MM, Silva AC, Lobo DD, Badin RA, Hantraye P, Pereira de Almeida L, Nobre RJ.","Brain. 2024 Apr 4;147(4):1166-1189. doi: 10.1093/brain/awae012.","Henriques C","Brain","2024","2024/01/29","","","10.1093/brain/awae012"
"38872399","A comprehensive review of the interaction between COVID-19 spike proteins with mammalian small and major heat shock proteins","Navhaya LT, Blessing DM, Yamkela M, Godlo S, Makhoba XH.","Biomol Concepts. 2024 Jun 14;15(1). doi: 10.1515/bmc-2022-0027. eCollection 2024 Jan 1.","Navhaya LT","Biomol Concepts","2024","2024/06/14","","","10.1515/bmc-2022-0027"
"38933199","An overview for monitoring and prediction of pathogenic microorganisms in the atmosphere","Huang J, Wang D, Zhu Y, Yang Z, Yao M, Shi X, An T, Zhang Q, Huang C, Bi X, Li J, Wang Z, Liu Y, Zhu G, Chen S, Hang J, Qiu X, Deng W, Tian H, Zhang T, Chen T, Liu S, Lian X, Chen B, Zhang B, Zhao Y, Wang R, Li H.","Fundam Res. 2023 Aug 28;4(3):430-441. doi: 10.1016/j.fmre.2023.05.022. eCollection 2024 May.","Huang J","Fundam Res","2023","2024/06/27","PMC11197502","","10.1016/j.fmre.2023.05.022"
"38727991","Lessons Learned from Model-based Economic Evaluations of COVID-19 Drug Treatments Under Pandemic Circumstances: Results from a Systematic Review","Veijer C, van Hulst MH, Friedrichson B, Postma MJ, van Asselt ADI.","Pharmacoeconomics. 2024 Jun;42(6):633-647. doi: 10.1007/s40273-024-01375-x. Epub 2024 May 10.","Veijer C","Pharmacoeconomics","2024","2024/05/10","PMC11126513","","10.1007/s40273-024-01375-x"
"39273060","A Comparative Review of Cytokines and Cytokine Targeting in Sepsis: From Humans to Horses","Hobbs KJ, Bayless R, Sheats MK.","Cells. 2024 Sep 5;13(17):1489. doi: 10.3390/cells13171489.","Hobbs KJ","Cells","2024","2024/09/14","PMC11394191","","10.3390/cells13171489"
"39450012","Using Disruptive Technologies in the Anatomy Discipline After the COVID-19 Pandemic: A Scoping Review","de Oliveira LF, Ribeiro AB, Colombo PB, Makrakis LR, Silva-Lovato CH, Ribeiro AB.","Med Sci Educ. 2024 May 31;34(5):1215-1229. doi: 10.1007/s40670-024-02080-2. eCollection 2024 Oct.","de Oliveira LF","Med Sci Educ","2024","2024/10/25","PMC11496419","","10.1007/s40670-024-02080-2"
"39313122","An immunology model for accelerated coronary atherosclerosis and unexplained sudden death in the COVID-19 era","McGonagle D, Giryes S.","Autoimmun Rev. 2024 Nov;23(11):103642. doi: 10.1016/j.autrev.2024.103642. Epub 2024 Sep 21.","McGonagle D","Autoimmun Rev","2024","2024/09/23","","","10.1016/j.autrev.2024.103642"
"39544635","Theoretical models applied to understand infection prevention and control practices of healthcare workers during the COVID-19 pandemic: A systematic review","Kc D, Smith J, Currie K, Ness V.","J Infect Prev. 2024 May 16:17571774241251645. doi: 10.1177/17571774241251645. Online ahead of print.","Kc D","J Infect Prev","2024","2024/11/15","PMC11558798","","10.1177/17571774241251645"
"39960901","Beneficial effects and possible mechanism of intake coffee for COVID-19: A meta-analysis and molecular docking","Fan YZ, Duan YL, Zhang AN, Wang Y.","Medicine (Baltimore). 2025 Feb 14;104(7):e41550. doi: 10.1097/MD.0000000000041550.","Fan YZ","Medicine (Baltimore)","2025","2025/02/17","PMC11835096","","10.1097/MD.0000000000041550"
"39048773","Taming the storm: potential anti-inflammatory compounds targeting SARS-CoV-2 MPro","Anton DB, de Lima JC, Dahmer BR, Camini AM, Goettert MI, Timmers LFSM.","Inflammopharmacology. 2024 Oct;32(5):3007-3035. doi: 10.1007/s10787-024-01525-9. Epub 2024 Jul 24.","Anton DB","Inflammopharmacology","2024","2024/07/24","","","10.1007/s10787-024-01525-9"
"38660034","Forecasting of Indian tourism industry using modeling approach","Devi R, Agrawal A, Dhar J, Misra AK.","MethodsX. 2024 Apr 19;12:102723. doi: 10.1016/j.mex.2024.102723. eCollection 2024 Jun.","Devi R","MethodsX","2024","2024/04/25","PMC11041913","","10.1016/j.mex.2024.102723"
"39981885","Animal Models for Long COVID: Current Advances, Limitations, and Future Directions","Zhang Y, Chen H, Li Y, Luo C, Zhu Y, Zhou X, Wang R, He J, Guo H, Xu X, Qiu M, Li J.","J Med Virol. 2025 Feb;97(2):e70237. doi: 10.1002/jmv.70237.","Zhang Y","J Med Virol","2025","2025/02/21","","","10.1002/jmv.70237"
"39376223","Nonlinear mixed models and related approaches in infectious disease modeling: A systematic and critical review","Adéoti OM, Agbla S, Diop A, Glèlè Kakaï R.","Infect Dis Model. 2024 Sep 18;10(1):110-128. doi: 10.1016/j.idm.2024.09.001. eCollection 2025 Mar.","Adéoti OM","Infect Dis Model","2024","2024/10/08","PMC11456789","","10.1016/j.idm.2024.09.001"
"39513856","Using Zebrafish to Study Multiciliated Cell Development and Disease States","Nguyen TK, Baker S, Rodriguez JM, Arceri L, Wingert RA.","Cells. 2024 Oct 23;13(21):1749. doi: 10.3390/cells13211749.","Nguyen TK","Cells","2024","2024/11/08","PMC11545745","","10.3390/cells13211749"
"38262567","Application of the zebrafish model in human viral research","Liu J, Yuan X, Fan C, Ma G.","Virus Res. 2024 Mar;341:199327. doi: 10.1016/j.virusres.2024.199327. Epub 2024 Jan 24.","Liu J","Virus Res","2024","2024/01/23","PMC10835014","","10.1016/j.virusres.2024.199327"
"38500147","Incorporating social vulnerability in infectious disease mathematical modelling: a scoping review","Naidoo M, Shephard W, Kambewe I, Mtshali N, Cope S, Rubio FA, Rasella D.","BMC Med. 2024 Mar 18;22(1):125. doi: 10.1186/s12916-024-03333-y.","Naidoo M","BMC Med","2024","2024/03/19","PMC10949739","","10.1186/s12916-024-03333-y"
"38928228","Human Brain In Vitro Model for Pathogen Infection-Related Neurodegeneration Study","Yan Y, Cho AN.","Int J Mol Sci. 2024 Jun 13;25(12):6522. doi: 10.3390/ijms25126522.","Yan Y","Int J Mol Sci","2024","2024/06/27","PMC11204318","","10.3390/ijms25126522"
"39465801","Comprehending symmetry in epidemiology: A review of analytical methods and insights from models of COVID-19, Ebola, Dengue, and Monkeypox","Shanmugam SN, Byeon H.","Medicine (Baltimore). 2024 Oct 11;103(41):e40063. doi: 10.1097/MD.0000000000040063.","Shanmugam SN","Medicine (Baltimore)","2024","2024/10/28","PMC11479419","","10.1097/MD.0000000000040063"
"38733424","An Overview of SARS-CoV-2 Potential Targets, Inhibitors, and Computational Insights to Enrich the Promising Treatment Strategies","Kumawat P, Agarwal LK, Sharma K.","Curr Microbiol. 2024 May 11;81(7):169. doi: 10.1007/s00284-024-03671-3.","Kumawat P","Curr Microbiol","2024","2024/05/11","","","10.1007/s00284-024-03671-3"
"36994810","Investigating the potential of natural compounds as novel inhibitors of SARS-CoV-2 RdRP using computational approaches","Bagabir SA.","Biotechnol Genet Eng Rev. 2024 Nov;40(3):1535-1555. doi: 10.1080/02648725.2023.2195240. Epub 2023 Mar 30.","Bagabir SA","Biotechnol Genet Eng Rev","2024","2023/03/30","","","10.1080/02648725.2023.2195240"
"39204285","Advancing Public Health Surveillance: Integrating Modeling and GIS in the Wastewater-Based Epidemiology of Viruses, a Narrative Review","Cuadros DF, Chen X, Li J, Omori R, Musuka G.","Pathogens. 2024 Aug 14;13(8):685. doi: 10.3390/pathogens13080685.","Cuadros DF","Pathogens","2024","2024/08/29","PMC11357455","","10.3390/pathogens13080685"
"37871140","Informing Public Health Policies with Models for Disease Burden, Impact Evaluation, and Economic Evaluation","Jit M, Cook AR.","Annu Rev Public Health. 2024 May;45(1):133-150. doi: 10.1146/annurev-publhealth-060222-025149. Epub 2024 Apr 3.","Jit M","Annu Rev Public Health","2024","2023/10/23","","","10.1146/annurev-publhealth-060222-025149"
"39536463","Integration of bioprinting advances and biomechanical strategies forin vitrolung modelling","Avery K, Chen X.","Biofabrication. 2024 Nov 26;17(1). doi: 10.1088/1758-5090/ad91e2.","Avery K","Biofabrication","2024","2024/11/13","","","10.1088/1758-5090/ad91e2"
"38850674","Neurotropic murine coronavirus mediated demyelination: Factors dampening pathogenesis","Hwang M, Bergmann CC.","J Neuroimmunol. 2024 Aug 15;393:578382. doi: 10.1016/j.jneuroim.2024.578382. Epub 2024 Jun 1.","Hwang M","J Neuroimmunol","2024","2024/06/08","","","10.1016/j.jneuroim.2024.578382"
"38246855","The application of behavioral change theories in addressing vaccine hesitancy: A Literature Review","Pan WKM.","Public Health Nurs. 2024 Mar-Apr;41(2):318-324. doi: 10.1111/phn.13280. Epub 2024 Jan 21.","Pan WKM","Public Health Nurs","2024","2024/01/21","","","10.1111/phn.13280"
"39691699","Nonhuman primate models of pediatric viral diseases","Vijayan K K V, De Paris K.","Front Cell Infect Microbiol. 2024 Dec 3;14:1493885. doi: 10.3389/fcimb.2024.1493885. eCollection 2024.","Vijayan K K V","Front Cell Infect Microbiol","2024","2024/12/18","PMC11649651","","10.3389/fcimb.2024.1493885"
"38832686","An update on microfluidic multi-organ-on-a-chip systems for reproducing drug pharmacokinetics: the current state-of-the-art","Vasconez Martinez MG, Frauenlob M, Rothbauer M.","Expert Opin Drug Metab Toxicol. 2024 Jun;20(6):459-471. doi: 10.1080/17425255.2024.2362183. Epub 2024 Jun 4.","Vasconez Martinez MG","Expert Opin Drug Metab Toxicol","2024","2024/06/04","","","10.1080/17425255.2024.2362183"
"39488136","Investigating and forecasting infectious disease dynamics using epidemiological and molecular surveillance data","Chowell G, Skums P.","Phys Life Rev. 2024 Dec;51:294-327. doi: 10.1016/j.plrev.2024.10.011. Epub 2024 Oct 24.","Chowell G","Phys Life Rev","2024","2024/11/02","","","10.1016/j.plrev.2024.10.011"
"39775161","Advancing Myocarditis Research: Evaluating Animal Models for Enhanced Pathophysiological Insights","Xu Y, Tan Y, Peng Z, Liu M, Zhang B, Wei K.","Curr Cardiol Rep. 2025 Jan 7;27(1):6. doi: 10.1007/s11886-024-02182-8.","Xu Y","Curr Cardiol Rep","2025","2025/01/08","","","10.1007/s11886-024-02182-8"
"39759921","Health Information Disorders Models: A Scoping Review","Zalpour A, Hashemian M, Geraei E, Zare-Farashbandi F.","Iran J Nurs Midwifery Res. 2024 Nov 20;29(6):637-648. doi: 10.4103/ijnmr.ijnmr_414_23. eCollection 2024 Nov-Dec.","Zalpour A","Iran J Nurs Midwifery Res","2024","2025/01/06","PMC11694584","","10.4103/ijnmr.ijnmr_414_23"
"39151594","Are protein-ligand docking programs good enough to predict experimental poses of noncovalent ligands bound to the SARS-CoV-2 main protease?","Llop-Peiró A, Macip G, Garcia-Vallvé S, Pujadas G.","Drug Discov Today. 2024 Oct;29(10):104137. doi: 10.1016/j.drudis.2024.104137. Epub 2024 Aug 14.","Llop-Peiró A","Drug Discov Today","2024","2024/08/16","","","10.1016/j.drudis.2024.104137"
"39942596","Analysis of Structures of SARS-CoV-2 Papain-like Protease Bound with Ligands Unveils Structural Features for Inhibiting the Enzyme","Varghese A, Liu J, Liu B, Guo W, Dong F, Patterson TA, Hong H.","Molecules. 2025 Jan 23;30(3):491. doi: 10.3390/molecules30030491.","Varghese A","Molecules","2025","2025/02/13","PMC11820935","","10.3390/molecules30030491"
"39474813","Statistical methods for clinical trials interrupted by the severe acute respiratory syndrome-coronavirus-2 (SARS-CoV-2) pandemic: A review","Basu J, Parsons N, Friede T, Stallard N.","Stat Methods Med Res. 2024 Nov;33(11-12):2131-2143. doi: 10.1177/09622802241288350. Epub 2024 Oct 30.","Basu J","Stat Methods Med Res","2024","2024/10/30","PMC11577686","","10.1177/09622802241288350"
"39515744","Depression unveiled: Insights into etiology and animal models for behavioral assessment, exploring the multifactorial nature and treatment of depression","More S, Kaleem M, Kharwade R, Almutairy AF, Shahzad N, Ali Mujtaba M, Taha M, Pise A, Zafar A, Mahmood D.","Brain Res. 2025 Jan 15;1847:149313. doi: 10.1016/j.brainres.2024.149313. Epub 2024 Nov 6.","More S","Brain Res","2025","2024/11/08","","","10.1016/j.brainres.2024.149313"
"39055421","Behavior Change Theories and Models Within Health Belief Model Research: A Five-Decade Holistic Bibliometric Analysis","Alamer AS.","Cureus. 2024 Jun 25;16(6):e63143. doi: 10.7759/cureus.63143. eCollection 2024 Jun.","Alamer AS","Cureus","2024","2024/07/26","PMC11272221","","10.7759/cureus.63143"
"39402013","Viral entry mechanisms: the role of molecular simulation in unlocking a key step in viral infections","Valério M, Buga CC, Melo MN, Soares CM, Lousa D.","FEBS Open Bio. 2025 Feb;15(2):269-284. doi: 10.1002/2211-5463.13908. Epub 2024 Oct 14.","Valério M","FEBS Open Bio","2025","2024/10/14","PMC11788750","","10.1002/2211-5463.13908"
"39861889","Animal Models for Human-Pathogenic Coronavirus and Animal Coronavirus Research","Xiao F, Hu J, Xu M, Wang D, Shen X, Zhang H, Miao J, Cai H, Wang J, Liu Y, Xiao S, Zhu L.","Viruses. 2025 Jan 14;17(1):100. doi: 10.3390/v17010100.","Xiao F","Viruses","2025","2025/01/25","PMC11768759","","10.3390/v17010100"
"39772327","[Activity of flavonoids of natural origin on SARS-CoV-2 infections]","Sergiel I.","Postepy Biochem. 2024 Dec 2;70(4):483-489. doi: 10.18388/pb.2021_562. Print 2024 Dec 31.","Sergiel I","Postepy Biochem","2024","2025/01/08","","","10.18388/pb.2021_562"
"39120081","Pulmonary fibrosis insights and therapy targets from disease models and administration of the lipophilic diterpene, sodium tanshinone IIA sulfonate: Review and meta-analysis","Peng LY, Shi JJ, Liang Y, Li Y, Tang Y, Kai T, Yang A, Xiong ZY.","Int J Clin Pharmacol Ther. 2024 Oct;62(10):460-478. doi: 10.5414/CP204622.","Peng LY","Int J Clin Pharmacol Ther","2024","2024/08/09","","","10.5414/CP204622"
"39164897","The Role of Coronavirus Spike Protein in Inducing Optic Neuritis in Mice: Parallels to the SARS-CoV-2 Virus","Kasle G, Das Sarma J.","J Neuroophthalmol. 2024 Sep 1;44(3):319-329. doi: 10.1097/WNO.0000000000002234.","Kasle G","J Neuroophthalmol","2024","2024/08/21","","","10.1097/WNO.0000000000002234"
"39118156","Research evidence communication for policy-makers: a rapid scoping review on frameworks, guidance and tools, and barriers and facilitators","Barreto JOM, de Melo RC, da Silva LALB, de Araújo BC, de Freitas Oliveira C, Toma TS, de Bortoli MC, Demaio PN, Kuchenmüller T.","Health Res Policy Syst. 2024 Aug 8;22(1):99. doi: 10.1186/s12961-024-01169-9.","Barreto JOM","Health Res Policy Syst","2024","2024/08/08","PMC11312384","","10.1186/s12961-024-01169-9"
"39599908","Rapid Development of Small Rodent Animal Models for Infectious Disease Research Through Vectorized Receptor Molecule Expression","Goens MM, Howard EL, Warner BM, Susta L, Wootton SK.","Viruses. 2024 Nov 19;16(11):1794. doi: 10.3390/v16111794.","Goens MM","Viruses","2024","2024/11/27","PMC11599079","","10.3390/v16111794"
"38772106","Global daily mask use estimation in the pandemic and its post environmental health risks: Analysis based on a validated dynamic mathematical model","Zhang Y, Jiang F, Li F, Lu S, Liu Z, Wang Y, Chi Y, Jiang C, Zhang L, Chen Q, He Z, Zhao X, Qiao J, Xu X, Leung KMY, Liu X, Wu F.","J Hazard Mater. 2024 Jul 15;473:134572. doi: 10.1016/j.jhazmat.2024.134572. Epub 2024 May 11.","Zhang Y","J Hazard Mater","2024","2024/05/21","","","10.1016/j.jhazmat.2024.134572"
"38916946","Digital and Hybrid Pediatric and Youth Mental Health Program Implementation Challenges During the Pandemic: Literature Review With a Knowledge Translation and Theoretical Lens Analysis","Lyzwinski L, Mcdonald S, Zwicker J, Tough S.","JMIR Pediatr Parent. 2024 Jun 25;7:e55100. doi: 10.2196/55100.","Lyzwinski L","JMIR Pediatr Parent","2024","2024/06/25","PMC11234057","","10.2196/55100"
"39705867","Transmission models of respiratory infections in carceral settings: A systematic review","Levintow SN, Remch M, Jones EP, Lessler J, Edwards JK, Brinkley-Rubinstein L, Rice DK, Rosen DL, Powers KA.","Epidemics. 2024 Dec 6;50:100809. doi: 10.1016/j.epidem.2024.100809. Online ahead of print.","Levintow SN","Epidemics","2024","2024/12/20","","","10.1016/j.epidem.2024.100809"
"39927819","Polymer models of chromatin organization in virally infected cells","Fontana A, Tafuri F, Abraham A, Bianco S, Esposito A, Conte M, Vercellone F, Pierno FD, Guha S, Carluccio CD, Chiariello AM.","Biochem Soc Trans. 2025 Feb 7;53(1):BST20240598. doi: 10.1042/BST20240598.","Fontana A","Biochem Soc Trans","2025","2025/02/10","","","10.1042/BST20240598"
"39996621","A Meta-Analysis of the Impact of Using Angiotensin-Converting Enzyme Inhibitors (ACEIs) or Angiotensin II Receptor Blockers (ARBs) on Mortality, Severity, and Healthcare Resource Utilization in Patients with COVID-19","Li R, Zhang J, Ren L.","Adv Respir Med. 2025 Feb 18;93(1):4. doi: 10.3390/arm93010004.","Li R","Adv Respir Med","2025","2025/02/25","PMC11852372","","10.3390/arm93010004"
"38116887","The CD40/CD40 ligand dyad and its downstream effector molecule ISG54 in relating acute neuroinflammation with persistent, progressive demyelination","Hazra B, Das Sarma J.","IUBMB Life. 2024 Jun;76(6):313-331. doi: 10.1002/iub.2798. Epub 2023 Dec 20.","Hazra B","IUBMB Life","2024","2023/12/20","","","10.1002/iub.2798"
"39420243","How and why to follow best practices for testing mediation models with missing data","Schoemann AM, Moore EWG, Yagiz G.","Int J Psychol. 2025 Feb;60(1):e13257. doi: 10.1002/ijop.13257. Epub 2024 Oct 17.","Schoemann AM","Int J Psychol","2025","2024/10/17","PMC11625877","","10.1002/ijop.13257"
"39180016","Impacts of blended learning with BOPPPS model on Chinese medical undergraduate students: a comprehensive systematic review and meta-analysis of 44 studies","Li S, Wei W, Li X, Ma L, Li Q, Sun X, Chen X.","BMC Med Educ. 2024 Aug 23;24(1):914. doi: 10.1186/s12909-024-05917-x.","Li S","BMC Med Educ","2024","2024/08/23","PMC11344447","","10.1186/s12909-024-05917-x"
